CCD-18Co	CRL-1459		atcc	CellLine
CCD-19Lu	CCL-210		atcc	CellLine
CCD-25Lu	CCL-215		atcc	CellLine
CCD-25Sk	CRL-1474		atcc	CellLine
CCD-27Sk	CRL-1475		atcc	CellLine
CCD-29Lu	CRL-1478		atcc	CellLine
CCD-32Sk	CRL-1489		atcc	CellLine
CRL-1539	CRL-1539		atcc	CellLine
CCD-33Lu	CRL-1490		atcc	CellLine
CCD-34Lu	CRL-1491		atcc	CellLine
CCD-34Sk	CRL-1497		atcc	CellLine
CCD-39Lu	CRL-1498		atcc	CellLine
CCD-39Sk	CRL-1501		atcc	CellLine
CCD-42Sk	CRL-1513		atcc	CellLine
CCD-43Sk	CRL-1509		atcc	CellLine
CCD-8Lu	CCL-201		atcc	CellLine
CCD-944Sk	CRL-1836		atcc	CellLine
CCD-986Sk	CRL-1947		atcc	CellLine
CCF-STTG1	CRL-1718		atcc	CellLine
CCRF-CEM	CCL-119		atcc	CellLine
CCRF-HSB-2	CCL-120.1		atcc	CellLine
CCRF-SB	CCL-120		atcc	CellLine
Ce Ar	CRL-1165		atcc	CellLine
Ce Wal	CRL-1351		atcc	CellLine
CEM-CM3	TIB-195		atcc	CellLine
CEM/C1	CRL-2265		atcc	CellLine
CEM/C2	CRL-2264		atcc	CellLine
CESS	TIB-190		atcc	CellLine
CFPAC-1	CRL-1918		atcc	CellLine
ChaGo-K-1	HTB-168		atcc	CellLine
CHL-1	CRL-9446		atcc	CellLine
CHLA-01-MED	CRL-3021		atcc	CellLine
CHLA-01R-MED	CRL-3034		atcc	CellLine
CHLA-02-ATRT	CRL-3020		atcc	CellLine
CHLA-03-AA	CRL-3035		atcc	CellLine
CHLA-04-ATRT	CRL-3036		atcc	CellLine
CHP 3 (M.W.)	CCL-132		atcc	CellLine
CHP 4 (W.W.)	CCL-133		atcc	CellLine
CHP-212	CRL-2273		atcc	CellLine
citrullinemia	CCL-76		atcc	CellLine
clone 1-5c-4	CCL-20.2		atcc	CellLine
Clone 15 HL-60	CRL-1964		atcc	CellLine
CO 88BV59-1	CRL-10624		atcc	CellLine
Co88BV59H21-2	CRL-11538		atcc	CellLine
Co88BV59H21-2V67-66	CRL-11539		atcc	CellLine
COLO 201	CCL-224		atcc	CellLine
COLO 205	CCL-222		atcc	CellLine
COLO 320DM	CCL-220		atcc	CellLine
COLO 320HSR	CCL-220.1		atcc	CellLine
COLO 829	CRL-1974		atcc	CellLine
COLO 829BL	CRL-1980		atcc	CellLine
Cri du Chat	CCL-90		atcc	CellLine
D1.1	CRL-10915		atcc	CellLine
D283 Med	HTB-185		atcc	CellLine
Da Bon	CRL-1251		atcc	CellLine
Da Cav	CRL-1388		atcc	CellLine
Da Hol	CRL-1379		atcc	CellLine
Da Mo	CRL-1383		atcc	CellLine
DAKIKI	TIB-206		atcc	CellLine
Daoy	HTB-186		atcc	CellLine
Daudi	CCL-213		atcc	CellLine
DB	CRL-2289		atcc	CellLine
DBTRG-05MG	CRL-2020		atcc	CellLine
De Te	CRL-1249		atcc	CellLine
Dempsey	CCL-28		atcc	CellLine
Detroit 510	CCL-72		atcc	CellLine
Detroit 525	CCL-65		atcc	CellLine
Detroit 529	CCL-66		atcc	CellLine
Detroit 532	CCL-54		atcc	CellLine
Detroit 539	CCL-84		atcc	CellLine
Detroit 548	CCL-116		atcc	CellLine
Detroit 551	CCL-110		atcc	CellLine
Detroit 562	CCL-138		atcc	CellLine
Detroit 573	CCL-117		atcc	CellLine
DG-75	CRL-2625		atcc	CellLine
DLD-1	CCL-221		atcc	CellLine
DMS 114	CRL-2066		atcc	CellLine
DMS 153	CRL-2064		atcc	CellLine
DMS 53	CRL-2062		atcc	CellLine
DMS 79	CRL-2049		atcc	CellLine
DoTc2 4510	CRL-7920		atcc	CellLine
DS-1	CRL-11102		atcc	CellLine
DU 145	HTB-81		atcc	CellLine
DU4475	HTB-123		atcc	CellLine
E.H. IV (Elaine IV)	CCL-104		atcc	CellLine
E006AA-hT	CRL-3277		atcc	CellLine
EA.hy926	CRL-2922		atcc	CellLine
EB	CRL-1365		atcc	CellLine
EB-3	CCL-85		atcc	CellLine
EB1	HTB-60		atcc	CellLine
EB2	HTB-61		atcc	CellLine
Ect1/E6E7	CRL-2614		atcc	CellLine
EL 1	CRL-9854		atcc	CellLine
El Don	CRL-1149		atcc	CellLine
Em Ar	CRL-1168		atcc	CellLine
EML4-ALK Fusion-A549 Isogenic Cell Line Human	CCL-185IG		atcc	CellLine
End1/E6E7	CRL-2615		atcc	CellLine
ES-2	CRL-1978		atcc	CellLine
F.thy 62891	CRL-10936		atcc	CellLine
FaDu	HTB-43		atcc	CellLine
Farage	CRL-2630		atcc	CellLine
Fe Bos	CRL-1177		atcc	CellLine
FHC	CRL-1831		atcc	CellLine
FHs 173We	HTB-158		atcc	CellLine
FHs 738Lu	HTB-157		atcc	CellLine
FHs 74 Int	CCL-241		atcc	CellLine
FL	CCL-62		atcc	CellLine
FL 62891	CRL-11005		atcc	CellLine
G-292, clone A141B1	CRL-1423		atcc	CellLine
G-361	CRL-1424		atcc	CellLine
G-401	CRL-1441		atcc	CellLine
G-402	CRL-1440		atcc	CellLine
Ga Va	CRL-1394		atcc	CellLine
GA-10	CRL-2392		atcc	CellLine
GA-10 (Clone 20)	CRL-2394		atcc	CellLine
GA-10 (Clone 4)	CRL-2393		atcc	CellLine
Gam Per	CRL-1326		atcc	CellLine
Gap Per	CRL-1335		atcc	CellLine
GCT	TIB-223		atcc	CellLine
GDM-1	CRL-2627		atcc	CellLine
GFPu-1	CRL-2794		atcc	CellLine
GH329	CRL-13002		atcc	CellLine
GK-5	CRL-1834		atcc	CellLine
Go Je	CRL-1381		atcc	CellLine
GS-109-IV-8	CRL-1672		atcc	CellLine
GS-109-V-20	CRL-1610		atcc	CellLine
GS-109-V-21	CRL-1643		atcc	CellLine
GS-109-V-34	CRL-1613		atcc	CellLine
GS-109-V-63	CRL-1614		atcc	CellLine
H4	HTB-148		atcc	CellLine
H69AR	CRL-11351		atcc	CellLine
H9	HTB-176		atcc	CellLine
H9/HTLV-IIIB	CRL-8543		atcc	CellLine
Ha Fe	CRL-1396		atcc	CellLine
HAC15	CRL-3301		atcc	CellLine
HBE135-E6E7	CRL-2741		atcc	CellLine
HBE4-E6/E7	CRL-2078		atcc	CellLine
HBE4-E6/E7-C1	CRL-2079		atcc	CellLine
HBEC-5i	CRL-3245		atcc	CellLine
HCC1007 BL	CRL-2319		atcc	CellLine
HCC1008	CRL-2320		atcc	CellLine
HCC1143 BL	CRL-2362		atcc	CellLine
HCC1187	CRL-2322		atcc	CellLine
