apolipoprotein A-II proteolytic cleavage product	PR:000019013	apolipoprotein A-II proteolytic cleavage product
apolipoprotein A-I proteolytic cleavage product	PR:000019010	apolipoprotein A-I proteolytic cleavage product
apolipoprotein B-100 proteolytic cleavage product	PR:000019018	apolipoprotein B-100 proteolytic cleavage product
apolipoprotein F proteolytic cleavage product	PR:000019029	apolipoprotein F proteolytic cleavage product
C80	PR:000025582	APP-C80
C83	PR:000025581	APP-C83
C99	PR:000025580	APP-C99
amyloid-beta precursor protein proteolytic cleavage product	PR:000019036	APP/ClvPrd
gamma-secretase C-terminal fragment 50	PR:000025589	APP-CTF(50)
gamma-secretase C-terminal fragment 57	PR:000025585	APP-CTF(57)
gamma-secretase C-terminal fragment 59	PR:000025586	APP-CTF(59)
P3(40)	PR:000025588	APP-P3(40)
P3(42)	PR:000025587	APP-P3(42)
precursor of amyloid-beta precursor protein gamma-secretase C-terminal fragment	PR:000025744	APP-preCTF
aerobic respiration control sensor protein ArcB isoform 1 unmodified form	PR:000024874	arcB/iso:1/UnMod
amphiregulin proteolytic cleavage product	PR:000019041	AREG/ClvPrd
Rho GTPase-activating protein 45 proteolytic cleavage product	PR:000020165	ARHGAP45/ClvPrd
arylsulfatase A proteolytic cleavage product	PR:000019058	ARSA/ClvPrd
arylsulfatase A proteolytic cleavage product	PR:000019058	arylsulfatase A proteolytic cleavage product
alpha-S1-casein derived peptide	PR:000036522	aS1-CN (f)
alpha-S2-casein derived peptide	PR:000036523	aS2-CN (f)
acid ceramidase proteolytic cleavage product	PR:000019059	ASAH1/ClvPrd
anaphase spindle elongation protein 1 unmodified form	PR:000027519	ase1/UnMod
retroviral-like aspartic protease 1 proteolytic cleavage product	PR:000019064	ASPRV1/ClvPrd
acid shock protein proteolytic cleavage product	PR:000024304	asr/ClvPrd
cyclic AMP-dependent transcription factor ATF-6 beta proteolytic cleavage product	PR:000019067	ATF6B/ClvPrd
cyclic AMP-dependent transcription factor ATF-6 alpha proteolytic cleavage product	PR:000019066	ATF6/ClvPrd
sodium/potassium-transporting ATPase subunit alpha-1 proteolytic cleavage product	PR:000019069	ATP1A1/ClvPrd
copper-transporting ATPase 2 proteolytic cleavage product	PR:000019087	ATP7B/ClvPrd
auxin-responsive protein IAA7 unmodified form	PR:000028462	auxin-responsive protein IAA7 unmodified form
vasopressin-neurophysin 2-copeptin proteolytic cleavage product	PR:000019093	AVP/ClvPrd
azurocidin proteolytic cleavage product	PR:000019098	AZU1/ClvPrd
azurocidin proteolytic cleavage product	PR:000019098	azurocidin proteolytic cleavage product
beta-2-microglobulin proteolytic cleavage product	PR:000019110	B2M/ClvPrd
beta-1,4-galactosyltransferase 1 proteolytic cleavage product	PR:000019111	B4GALT1/ClvPrd
beta-secretase 1 proteolytic cleavage product	PR:000019112	BACE1/ClvPrd
beta-secretase 2 proteolytic cleavage product	PR:000019113	BACE2/ClvPrd
Bcl2-associated agonist of cell death isoform 1 unmodified form	PR:000002843	BAD/iso:1/UnMod
Bcl2-associated agonist of cell death isoform 2 unmodified form	PR:000002844	BAD/iso:2/UnMod
signal transduction histidine-protein kinase BarA isoform 1 unmodified form	PR:000024891	barA/iso:1/UnMod
basigin proteolytic cleavage product	PR:000025414	basigin proteolytic cleavage product
sensor protein BasS isoform 1 unmodified form	PR:000024895	basS/iso:1/UnMod
Bcl-2-like protein 11 isoform 2 unmodified form	PR:000002835	BCL2L11/iso:2/UnMod
Bcl-2-like protein 11 isoform 2 unmodified form	PR:000002835	Bcl-2-like protein 11 isoform 2 unmodified form
beta-casein derived peptide	PR:000036524	b-CN (f)
brain-derived neurotrophic factor proteolytic cleavage product	PR:000019130	BDNF/ClvPrd
beclin-1 isoform 1 unmodified form	PR:000027486	beclin-1 isoform 1 unmodified form
beclin-1 isoform 1 unmodified form	PR:000027486	BECN1/iso:1/UnMod
beta-2-microglobulin proteolytic cleavage product	PR:000019110	beta-2-microglobulin proteolytic cleavage product
amyloid beta peptide	PR:000036193	beta-amyloid protein
amyloid beta peptide	PR:000036193	beta-APP
beta-casein derived peptide	PR:000036524	beta-casein derived peptide
beta-crystallin B1 proteolytic cleavage product	PR:000019505	beta-crystallin B1 proteolytic cleavage product
beta-defensin 1 proteolytic cleavage product	PR:000019661	beta-defensin 1 proteolytic cleavage product
beta-defensin 8 proteolytic cleavage product	PR:000019717	beta-defensin 8 proteolytic cleavage product
beta-secretase 1 proteolytic cleavage product	PR:000019112	beta-secretase 1 proteolytic cleavage product
beta-secretase 2 proteolytic cleavage product	PR:000019113	beta-secretase 2 proteolytic cleavage product
biglycan proteolytic cleavage product	PR:000019131	BGN/ClvPrd
BH3-interacting domain death agonist isoform 1 cleaved 3	PR:000002441	BH3-interacting domain death agonist p11
BH3-interacting domain death agonist isoform 1 cleaved 2	PR:000002440	BH3-interacting domain death agonist p13
BH3-interacting domain death agonist isoform 1 cleaved 1	PR:000002439	BH3-interacting domain death agonist p15
BH3-interacting domain death agonist proteolytic cleavage product	PR:000018749	BID/ClvPrd
BH3-interacting domain death agonist isoform 1 cleaved 1	PR:000002439	BID/iso:1/Clv:1
BH3-interacting domain death agonist isoform 1 cleaved 2	PR:000002440	BID/iso:1/Clv:2
BH3-interacting domain death agonist isoform 1 cleaved 3	PR:000002441	BID/iso:1/Clv:3
biglycan proteolytic cleavage product	PR:000019131	biglycan proteolytic cleavage product
biliverdin reductase A proteolytic cleavage product	PR:000019133	BLVRA/ClvPrd
bone morphogenetic protein 15 proteolytic cleavage product	PR:000019135	BMP15/ClvPrd
BMP2 proteolytic cleavage product	PR:000018286	BMP2/ClvPrd
BMP2 proteolytic cleavage product	PR:000018286	BMP2 proteolytic cleavage product
BMP4 proteolytic cleavage product	PR:000018287	BMP4/ClvPrd
BMP4 proteolytic cleavage product	PR:000018287	BMP4 proteolytic cleavage product
BMP5 proteolytic cleavage product	PR:000021931	BMP5/ClvPrd
BMP5 proteolytic cleavage product	PR:000021931	BMP5 proteolytic cleavage product
BMP6 proteolytic cleavage product	PR:000021932	BMP6/ClvPrd
BMP6 proteolytic cleavage product	PR:000021932	BMP6 proteolytic cleavage product
BMP7 proteolytic cleavage product	PR:000018288	BMP7/ClvPrd
BMP7 proteolytic cleavage product	PR:000018288	BMP7 proteolytic cleavage product
basigin proteolytic cleavage product	PR:000025414	BSG/ClvPrd
probetacellulin proteolytic cleavage product	PR:000019150	BTC/ClvPrd
complement C1r subcomponent proteolytic cleavage product	PR:000019169	C1R/ClvPrd
complement C1s subcomponent proteolytic cleavage product	PR:000019172	C1S/ClvPrd
complement C2 proteolytic cleavage product	PR:000019175	C2/ClvPrd
C3 anaphylatoxin	PR:000050122	C3a anaphylatoxin
complement C3 alpha chain	PR:000050120	C3/alpha
complement C3 alpha chain proteolytic cleavage product	PR:000050113	C3/alpha/ClvPrd
C3 anaphylatoxin	PR:000050122	C3 anaphylatoxin
complement C3 acylation stimulating protein	PR:000050123	C3/ASP
complement C3b alpha' chain	PR:000050124	C3/b-alpha'
complement C3 beta chain	PR:000050119	C3/beta
C3-beta-c	PR:000050121	C3-beta-c
C3-beta-c	PR:000050121	C3/beta-c
C3 anaphylatoxin	PR:000050122	C3/C3a
complement C3c alpha' chain fragment 1	PR:000050149	C3/c-alpha'f1
complement C3c alpha' chain fragment 2	PR:000050129	C3/c-alpha'f2
complement C3 proteolytic cleavage product	PR:000019178	C3/ClvPrd
complement C3d fragment	PR:000050131	C3/d
complement C3dg fragment	PR:000050127	C3/dg
complement C3f	PR:000050128	C3/f
complement C3g fragment	PR:000050130	C3/g
complement C4-A proteolytic cleavage product	PR:000019181	C4A/ClvPrd
complement C4-B proteolytic cleavage product	PR:000019184	C4B/ClvPrd
complement C5 proteolytic cleavage product	PR:000019189	C5/ClvPrd
C80	PR:000025582	C80
C83	PR:000025581	C83
complement component C8 beta chain proteolytic cleavage product	PR:000019194	C8B/ClvPrd
C99	PR:000025580	C99
complement component C9 proteolytic cleavage product	PR:000019199	C9/ClvPrd
carbonic anhydrase 4 proteolytic cleavage product	PR:000019204	CA4/ClvPrd
voltage-dependent calcium channel subunit alpha-2-1	PR:000050068	CACNA2D1/Clv:1
voltage-dependent calcium channel subunit delta-1	PR:000050069	CACNA2D1/Clv:2
voltage-dependent calcium channel subunit alpha-2/delta-1 proteolytic cleavage product	PR:000019215	CACNA2D1/ClvPrd
cadherin-13 proteolytic cleavage product	PR:000019284	cadherin-13 proteolytic cleavage product
cadherin-1 proteolytic cleavage product	PR:000018481	cadherin-1 proteolytic cleavage product
cadherin-2 proteolytic cleavage product	PR:000018480	cadherin-2 proteolytic cleavage product
cadherin-3 proteolytic cleavage product	PR:000019287	cadherin-3 proteolytic cleavage product
calcitonin gene-related peptide 2 proteolytic cleavage product	PR:000019220	CALCB/ClvPrd
calsyntenin-1 proteolytic cleavage product	PR:000019376	calsyntenin-1 proteolytic cleavage product
capsid protein C	PR:000036819	capsid protein C
carbonic anhydrase 4 proteolytic cleavage product	PR:000019204	carbonic anhydrase 4 proteolytic cleavage product
carboxypeptidase A1 proteolytic cleavage product	PR:000019451	carboxypeptidase A1 proteolytic cleavage product
carboxypeptidase A2 proteolytic cleavage product	PR:000019452	carboxypeptidase A2 proteolytic cleavage product
carboxypeptidase B2 proteolytic cleavage product	PR:000019459	carboxypeptidase B2 proteolytic cleavage product
carboxypeptidase B proteolytic cleavage product	PR:000019458	carboxypeptidase B proteolytic cleavage product
